uuid,min_x,min_y,max_x,max_y,start_date,end_date,geometry
575a82db-8bc3-496d-83a0-b7bf2dbff54c,8.4375,49.15296965617039,8.61328125,49.26780455063753,2022-09-01,2022-09-30,"POLYGON ((8.4375 49.15296965617039, 8.4375 49.26780455063753, 8.61328125 49.26780455063753, 8.61328125 49.15296965617039, 8.4375 49.15296965617039))"
c80096b5-fdfa-4dcc-9124-40f146578037,8.4375,49.26780455063753,8.61328125,49.38237278700955,2022-09-01,2022-09-30,"POLYGON ((8.4375 49.26780455063753, 8.4375 49.38237278700955, 8.61328125 49.38237278700955, 8.61328125 49.26780455063753, 8.4375 49.26780455063753))"
052028a7-eb65-44bf-afce-79d0d9bd7001,8.61328125,49.15296965617039,8.789062499999998,49.26780455063753,2022-09-01,2022-09-30,"POLYGON ((8.61328125 49.15296965617039, 8.61328125 49.26780455063753, 8.789062499999998 49.26780455063753, 8.789062499999998 49.15296965617039, 8.61328125 49.15296965617039))"
ea7e7b28-ccea-40a5-bc15-b05f0b8690b9,8.61328125,49.26780455063753,8.789062499999998,49.38237278700955,2022-09-01,2022-09-30,"POLYGON ((8.61328125 49.26780455063753, 8.61328125 49.38237278700955, 8.789062499999998 49.38237278700955, 8.789062499999998 49.26780455063753, 8.61328125 49.26780455063753))"
6145418d-f9b8-4c7b-986b-f57d87d8668c,8.789062499999998,49.15296965617039,8.96484375,49.26780455063753,2022-09-01,2022-09-30,"POLYGON ((8.789062499999998 49.15296965617039, 8.789062499999998 49.26780455063753, 8.96484375 49.26780455063753, 8.96484375 49.15296965617039, 8.789062499999998 49.15296965617039))"
ee2c1375-0e8e-4bf8-8216-58ce2f00161e,8.789062499999998,49.26780455063753,8.96484375,49.38237278700955,2022-09-01,2022-09-30,"POLYGON ((8.789062499999998 49.26780455063753, 8.789062499999998 49.38237278700955, 8.96484375 49.38237278700955, 8.96484375 49.26780455063753, 8.789062499999998 49.26780455063753))"
2844fc8d-39a7-428b-a3f3-b44275fdb8fb,8.96484375,49.15296965617039,9.140625,49.26780455063753,2022-09-01,2022-09-30,"POLYGON ((8.96484375 49.15296965617039, 8.96484375 49.26780455063753, 9.140625 49.26780455063753, 9.140625 49.15296965617039, 8.96484375 49.15296965617039))"
b3b23c1a-634f-481f-ace7-8d16161a0076,8.96484375,49.26780455063753,9.140625,49.38237278700955,2022-09-01,2022-09-30,"POLYGON ((8.96484375 49.26780455063753, 8.96484375 49.38237278700955, 9.140625 49.38237278700955, 9.140625 49.26780455063753, 8.96484375 49.26780455063753))"
0c70eb80-e868-4787-9c51-d1b4acae5f88,8.4375,49.38237278700955,8.61328125,49.49667452747043,2022-09-01,2022-09-30,"POLYGON ((8.4375 49.38237278700955, 8.4375 49.49667452747043, 8.61328125 49.49667452747043, 8.61328125 49.38237278700955, 8.4375 49.38237278700955))"
6a5fce8c-7574-4963-bc19-11686da7e732,8.4375,49.49667452747043,8.61328125,49.610709938074216,2022-09-01,2022-09-30,"POLYGON ((8.4375 49.49667452747043, 8.4375 49.610709938074216, 8.61328125 49.610709938074216, 8.61328125 49.49667452747043, 8.4375 49.49667452747043))"
ed33e0b2-2391-4528-9a68-5f4909149033,8.61328125,49.38237278700955,8.789062499999998,49.49667452747043,2022-09-01,2022-09-30,"POLYGON ((8.61328125 49.38237278700955, 8.61328125 49.49667452747043, 8.789062499999998 49.49667452747043, 8.789062499999998 49.38237278700955, 8.61328125 49.38237278700955))"
f03e63e7-7bd0-40ed-b413-0939355f0b2c,8.61328125,49.49667452747043,8.789062499999998,49.610709938074216,2022-09-01,2022-09-30,"POLYGON ((8.61328125 49.49667452747043, 8.61328125 49.610709938074216, 8.789062499999998 49.610709938074216, 8.789062499999998 49.49667452747043, 8.61328125 49.49667452747043))"
bb9bc9fd-de98-4f26-b28a-95f9d938ea25,8.4375,49.610709938074216,8.61328125,49.72447918871299,2022-09-01,2022-09-30,"POLYGON ((8.4375 49.610709938074216, 8.4375 49.72447918871299, 8.61328125 49.72447918871299, 8.61328125 49.610709938074216, 8.4375 49.610709938074216))"
09eb092a-db91-4ee1-9d97-01c834116169,8.61328125,49.610709938074216,8.789062499999998,49.72447918871299,2022-09-01,2022-09-30,"POLYGON ((8.61328125 49.610709938074216, 8.61328125 49.72447918871299, 8.789062499999998 49.72447918871299, 8.789062499999998 49.610709938074216, 8.61328125 49.610709938074216))"
ef9c529f-d509-41b7-9595-5a4555380bea,8.789062499999998,49.38237278700955,8.96484375,49.49667452747043,2022-09-01,2022-09-30,"POLYGON ((8.789062499999998 49.38237278700955, 8.789062499999998 49.49667452747043, 8.96484375 49.49667452747043, 8.96484375 49.38237278700955, 8.789062499999998 49.38237278700955))"
ca957796-79da-4f15-ad37-d585082c113b,8.789062499999998,49.49667452747043,8.96484375,49.610709938074216,2022-09-01,2022-09-30,"POLYGON ((8.789062499999998 49.49667452747043, 8.789062499999998 49.610709938074216, 8.96484375 49.610709938074216, 8.96484375 49.49667452747043, 8.789062499999998 49.49667452747043))"
de47557a-6c69-4f5d-968d-1d7594382db6,8.96484375,49.38237278700955,9.140625,49.49667452747043,2022-09-01,2022-09-30,"POLYGON ((8.96484375 49.38237278700955, 8.96484375 49.49667452747043, 9.140625 49.49667452747043, 9.140625 49.38237278700955, 8.96484375 49.38237278700955))"
4ea58e9c-4cb7-42c5-9377-d368693d29d0,8.96484375,49.49667452747043,9.140625,49.610709938074216,2022-09-01,2022-09-30,"POLYGON ((8.96484375 49.49667452747043, 8.96484375 49.610709938074216, 9.140625 49.610709938074216, 9.140625 49.49667452747043, 8.96484375 49.49667452747043))"
